district,worker_count
อำเภอเมืองสรวง,128
อำเภอพระประแดง,128
อำเภอวัฒนานคร,127
อำเภอภูกระดึง,127
อำเภอโพทะเล,125
อำเภอจอมทอง,123
อำเภอเมืองแพร่,123
อำเภอจังหาร,121
อำเภอลอง,120
อำเภอฟากท่า,120
อำเภอบางกรวย,119
อำเภอนาเยีย,119
อำเภอบางกระทุ่ม,119
อำเภอนาด้วง,116
อำเภอเมืองฉะเชิงเทรา,115
อำเภอถลาง,115
อำเภอปางศิลาทอง,115
อำเภอขามทะเลสอ,115
อำเภอกมลาไสย,114
อำเภอแม่จริม,114
อำเภอแปลงยาว,113
อำเภอไพศาลี,112
อำเภอนิคมคำสร้อย,112
อำเภอลำดวน,111
อำเภอวังยาง,111
อำเภอเขวาสินรินทร์,111
อำเภอเชียงกลาง,111
อำเภอไชยปราการ,110
อำเภอบ้านบึง,110
เขตวังทองหลาง,109
อำเภอพนัสนิคม,109
อำเภอเสนางคนิคม,108
อำเภอปากชม,108
อำเภอตาคลี,107
อำเภอห้วยทับทัน,106
เขตจตุจักร,106
อำเภอฆ้องชัย,105
อำเภอพนา,105
อำเภอนาน้อย,104
อำเภอปาย,104
อำเภอแม่เปิน,104
อำเภอพลับพลาชัย,104
อำเภอโนนดินแดง,104
อำเภอภูสิงห์,103
อำเภอระโนด,103
อำเภอศรีรัตนะ,102
เขตหนองแขม,102
อำเภอบางมูลนาก,102
อำเภอโกสัมพีนคร,102
อำเภอโพธิ์ชัย,101
อำเภอวังหิน,100
อำเภอแก่งคอย,100
อำเภอน้ำขุ่น,99
อำเภอรือเสาะ,99
อำเภอบรรพตพิสัย,99
อำเภอด่านซ้าย,99
อำเภอตะพานหิน,98
อำเภอสันป่าตอง,98
อำเภอวังน้ำเขียว,98
อำเภอเมืองนราธิวาส,98
อำเภอวชิรบารมี,98
อำเภอปทุมรัตต์,97
อำเภอไพรบึง,97
อำเภอนามน,96
อำเภอสามง่าม,95
อำเภอสามชัย,95
อำเภอหล่มเก่า,95
อำเภอห้วยผึ้ง,95
อำเภอกุดบาก,94
อำเภอทุ่งหัวช้าง,94
อำเภอเมืองสระบุรี,94
เขตดินแดง,93
อำเภอสว่างวีระวงศ์,93
เขตลาดพร้าว,93
อำเภออรัญประเทศ,92
อำเภอวังโป่ง,92
อำเภอพยุห์,92
อำเภอสูงเม่น,92
อำเภอพนมสารคาม,92
อำเภอหนองแค,91
อำเภอเมืองพิจิตร,91
อำเภอหัวหิน,91
อำเภอท่าตะโก,91
เขตคันนายาว,89
อำเภอสนม,89
อำเภอหนองหิน,89
อำเภอสันติสุข,88
อำเภอชุมตาบง,88
เขตพระโขนง,88
อำเภอท่าปลา,87
อำเภอดงหลวง,87
อำเภอบางปะกง,86
เขตบางนา,86
อำเภอท่าแพ,86
อำเภอบ้านโป่ง,86
เขตจอมทอง,85
อำเภอเชียงขวัญ,85
เขตหลักสี่,84
อำเภอเมืองนครศรีธรรมราช,84
อำเภอพระนครศรีอยุธยา,83
อำเภอท่าสองยาง,83
อำเภอศรีสมเด็จ,83
อำเภอพยุหะคีรี,82
อำเภอเบญจลักษ์,82
อำเภอบันนังสตา,82
อำเภอเหล่าเสือโก้ก,82
อำเภอวัดโบสถ์,82
เขตธนบุรี,82
อำเภอดอนจาน,82
อำเภอนาดี,81
อำเภอบ้านค่าย,80
อำเภอป่าซาง,80
อำเภอลืออำนาจ,80
อำเภอคำชะอี,79
เขตภาษีเจริญ,79
อำเภอเมืองราชบุรี,79
อำเภอซำสูง,78
อำเภอเวียงเก่า,78
เขตบางซื่อ,78
อำเภอแม่ใจ,78
เขตทุ่งครุ,78
อำเภอเมืองสุพรรณบุรี,77
อำเภอเมืองนครนายก,77
อำเภอหนองบัว,77
อำเภอลานสัก,77
อำเภออุ้มผาง,76
เขตสะพานสูง,76
อำเภอบ้านไร่,76
อำเภอตรอน,75
อำเภอท่าศาลา,75
อำเภอแม่วาง,74
อำเภอเมืองชัยนาท,74
อำเภอหว้านใหญ่,73
เขตบางบอน,73
อำเภอบาเจาะ,73
อำเภอชัยบาดาล,72
อำเภอเมืองปราจีนบุรี,72
อำเภอกรงปินัง,72
อำเภอตากใบ,72
เขตคลองเตย,71
อำเภอโคกสูง,70
อำเภอทองแสนขัน,69
เขตห้วยขวาง,69
อำเภอท่าม่วง,68
อำเภอป่าติ้ว,68
อำเภอโพธิ์ทอง,67
อำเภอโพธิ์ประทับช้าง,67
อำเภอเมืองจันทบุรี,67
อำเภออินทร์บุรี,67
อำเภออุทัย,66
อำเภอเดิมบางนางบวช,66
อำเภอโพนทราย,66
อำเภอท่ามะกา,66
อำเภอโคกสำโรง,66
อำเภอทุ่งศรีอุดม,66
อำเภอบ้านโฮ่ง,65
อำเภออู่ทอง,65
อำเภอเชียงม่วน,65
อำเภอเสนา,64
อำเภอเมืองตรัง,64
อำเภอน้ำเกลี้ยง,64
อำเภอปราณบุรี,64
อำเภอทับคล้อ,63
อำเภอสทิงพระ,62
อำเภอลาดหลุมแก้ว,62
อำเภอเมืองประจวบคีรีขันธ์,62
อำเภอบ้านหมี่,61
อำเภอภูหลวง,61
อำเภอทรายมูล,60
อำเภอนิคมน้ำอูน,60
อำเภอคลองหาด,60
อำเภอระแงะ,60
อำเภอเวียงแหง,59
อำเภอโพธาราม,58
อำเภอซับใหญ่,58
อำเภอมวกเหล็ก,57
อำเภอท่าตะเกียบ,56
อำเภอยางชุมน้อย,56
อำเภอวังสมบูรณ์,56
อำเภอกำแพงแสน,56
อำเภอหนองฮี,56
อำเภอตะกั่วป่า,55
อำเภอสะเมิง,55
อำเภอทุ่งเขาหลวง,55
อำเภอฮอด,55
อำเภอศรีนคร,55
อำเภอแกลง,55
อำเภอศิลาลาด,55
อำเภอทองผาภูมิ,55
อำเภอแม่สะเรียง,55
เขตสาทร,54
อำเภอนครชัยศรี,53
อำเภอไทรน้อย,53
อำเภอสว่างอารมณ์,53
อำเภอเมืองสุราษฎร์ธานี,53
อำเภอกัลยาณิวัฒนา,52
อำเภอมโนรมย์,52
อำเภออมก๋อย,52
อำเภอดงเจริญ,52
เขตวัฒนา,52
อำเภอบางคล้า,51
เขตบางคอแหลม,51
เขตบางกอกน้อย,51
อำเภอรัตภูมิ,51
อำเภอวังทรายพูน,50
อำเภอหนองเสือ,50
อำเภอท่าลี่,50
อำเภอยี่งอ,50
เขตทวีวัฒนา,50
อำเภอกะทู้,49
อำเภอศรีสาคร,49
อำเภอลำสนธิ,49
อำเภอเด่นชัย,49
เขตบางพลัด,49
อำเภอหนองสูง,48
อำเภอสามโคก,48
อำเภอทุ่งยางแดง,48
อำเภอนาทวี,48
อำเภอแม่ลาน้อย,48
อำเภอสอยดาว,48
อำเภอชะอำ,48
อำเภอโพธิ์ศรีสุวรรณ,48
เขตพญาไท,48
อำเภอทัพทัน,47
อำเภอเมืองกระบี่,47
อำเภอบางเลน,47
อำเภอตากฟ้า,47
อำเภอบึงสามัคคี,47
อำเภอน้ำหนาว,46
อำเภอปากพะยูน,45
อำเภอวิเศษชัยชาญ,45
อำเภอสองพี่น้อง,45
อำเภอประจันตคาม,45
อำเภอพัฒนานิคม,45
อำเภอปางมะผ้า,44
อำเภอบ้านธิ,44
อำเภอเมืองสมุทรสงคราม,44
อำเภอลับแล,44
เขตตลิ่งชัน,44
เขตยานนาวา,43
อำเภอหันคา,43
อำเภอเมืองชุมพร,43
เขตราษฎร์บูรณะ,43
อำเภอเมืองเพชรบุรี,43
เขตดุสิต,43
อำเภอเบตง,43
อำเภอเมยวดี,42
อำเภอบ้านโพธิ์,42
อำเภอภูเรือ,42
อำเภอแม่ลาน,42
อำเภอไทยเจริญ,42
อำเภอเมืองแม่ฮ่องสอน,42
อำเภอกาบัง,41
อำเภอปากพนัง,41
อำเภอเมืองอุทัยธานี,41
อำเภอนาหมื่น,41
อำเภอบางสะพาน,40
อำเภอไทรโยค,39
อำเภอควนขนุน,39
อำเภอหนองหญ้าไซ,39
อำเภอหลังสวน,39
อำเภอเมืองตราด,39
อำเภอบ้านสร้าง,39
เขตราชเทวี,38
อำเภอสากเหล็ก,38
อำเภอเต่างอย,38
อำเภอทุ่งหว้า,38
อำเภอสามชุก,38
อำเภอเมืองพัทลุง,37
อำเภอด่านช้าง,37
อำเภอบ้านแพ้ว,36
อำเภอบางปลาม้า,36
อำเภอเมืองระนอง,36
อำเภอเก้าเลี้ยว,36
อำเภอสุไหงปาดี,35
อำเภอบึงนาราง,35
อำเภอสรรคบุรี,35
อำเภอเสาไห้,35
อำเภอเลาขวัญ,35
อำเภอบ้านนา,35
อำเภอจะแนะ,34
อำเภอโคกเจริญ,34
อำเภอโกรกพระ,34
อำเภอควนโดน,34
อำเภอพระพุทธบาท,34
อำเภอองครักษ์,34
อำเภอศรีสวัสดิ์,33
อำเภอผักไห่,33
อำเภอสรรพยา,33
อำเภอท่าเรือ,33
อำเภอทุ่งสง,33
อำเภอบ่อไร่,33
อำเภอร่องคำ,32
อำเภอเมืองอ่างทอง,32
อำเภอร่อนพิบูลย์,32
อำเภอจอมบึง,32
อำเภอควนกาหลง,32
อำเภอบางระจัน,32
อำเภอเกาะสมุย,31
อำเภอบางบาล,31
อำเภอเวียงหนองล่อง,31
อำเภอบางน้ำเปรี้ยว,31
อำเภอนครหลวง,31
อำเภอหัวไทร,30
อำเภอหนองฉาง,30
อำเภอท่าแซะ,29
อำเภอแสวงหา,29
อำเภอเมืองสิงห์บุรี,29
เขตคลองสาน,29
อำเภอศรีมโหสถ,29
อำเภอศรีประจันต์,29
อำเภอดำเนินสะดวก,29
อำเภอหนองม่วงไข่,29
อำเภอเมืองจันทร์,29
อำเภอพนมทวน,29
อำเภอบ่อพลอย,28
อำเภอเชียรใหญ่,28
อำเภอสวนผึ้ง,28
อำเภอดอยหล่อ,28
อำเภอชะอวด,28
อำเภอเขาย้อย,28
อำเภอกะพ้อ,27
อำเภอสุไหงโก-ลก,27
อำเภอบ่อทอง,27
อำเภอสบเมย,27
อำเภอห้วยยอด,27
อำเภอวิหารแดง,27
เขตบางกอกใหญ่,27
อำเภอคลองท่อม,26
อำเภอเจาะไอร้อง,26
อำเภอดอยเต่า,26
อำเภอท่ายาง,26
อำเภอขลุง,26
อำเภอบ้านหลวง,26
อำเภอดอนเจดีย์,26
อำเภอหนองมะโมง,25
อำเภอปะเหลียน,25
อำเภอวังม่วง,25
เขตปทุมวัน,25
อำเภอขุนยวม,25
อำเภอโป่งน้ำร้อน,24
อำเภอวัดสิงห์,24
อำเภอทับสะแก,24
อำเภอควนเนียง,24
อำเภอสามร้อยยอด,24
อำเภอสามโก้,24
อำเภอปากท่อ,24
อำเภอหนองปรือ,24
อำเภอบางไทร,24
อำเภอเกาะจันทร์,24
อำเภอสวี,24
อำเภอมะนัง,24
อำเภอบางแพ,24
อำเภอท่าหลวง,23
อำเภอภูเพียง,23
อำเภอสังขละบุรี,23
อำเภอพุนพิน,23
อำเภอป่าโมก,22
อำเภอสิเกา,22
อำเภอสิชล,22
อำเภอดอนตูม,22
อำเภอท่าใหม่,21
อำเภอแก่งหางแมว,21
เขตป้อมปราบศัตรูพ่าย,21
อำเภอพุทธมณฑล,21
อำเภอบางกล่ำ,21
อำเภอด่านมะขามเตี้ย,21
อำเภอท่าวุ้ง,21
อำเภอลาดบัวหลวง,21
อำเภอมหาราช,20
อำเภอไชโย,20
อำเภอหนองขาหย่าง,20
อำเภออัมพวา,20
อำเภอปากพลี,20
เขตบางรัก,20
อำเภอพรหมบุรี,19
อำเภอบางปะหัน,19
อำเภอแว้ง,19
อำเภอค่ายบางระจัน,19
อำเภอธารโต,19
อำเภอเขาสมิง,19
อำเภอป่าบอน,19
อำเภอกระบุรี,18
อำเภอไม้แก่น,18
อำเภอกาญจนดิษฐ์,18
อำเภอบ้านหมอ,18
อำเภอบ้านแหลม,18
อำเภอทุ่งใหญ่,17
อำเภอเขาชะเมา,17
อำเภอบึงบูรพ์,17
อำเภอท่าชนะ,17
อำเภอกุยบุรี,17
เขตพระนคร,17
อำเภอย่านตาขาว,17
อำเภอบ่อเกลือ,16
อำเภอเขาชัยสน,16
อำเภอห้วยคต,16
อำเภอนาหม่อม,16
อำเภอพระพรหม,16
อำเภอเนินขาม,15
อำเภอเวียงสระ,15
อำเภอบ้านลาด,15
อำเภอหนองใหญ่,15
อำเภอบางสะพานน้อย,14
อำเภอบางซ้าย,14
อำเภอกงหรา,14
อำเภอหนองม่วง,14
อำเภอฉวาง,13
อำเภอกระแสสินธุ์,13
อำเภอวังวิเศษ,13
อำเภอนาแห้ว,13
อำเภอลานสกา,13
อำเภอตะโหมด,13
อำเภอคุระบุรี,13
อำเภอปะทิว,13
อำเภอแหลมสิงห์,13
อำเภอภาชี,12
อำเภอห้วยกระเจา,12
อำเภอเกาะช้าง,12
อำเภอท่าช้าง,11
เขตสัมพันธวงศ์,11
อำเภอนาโยง,11
อำเภอดอนสัก,10
อำเภอวังจันทร์,10
อำเภอทับปุด,10
อำเภอหนองแซง,10
อำเภอเกาะลันตา,9
อำเภอคีรีรัฐนิคม,9
อำเภอราชสาส์น,9
อำเภอบางคนที,9
อำเภอเขาพนม,9
อำเภอทุ่งตะโก,9
อำเภอบ้านนาสาร,9
อำเภอสุคิริน,9
อำเภอเคียนซา,9
อำเภอเหนือคลอง,9
อำเภอบ้านคา,8
อำเภอบางขัน,8
อำเภอปลายพระยา,8
อำเภอคลองหอยโข่ง,8
อำเภอเมืองพังงา,8
อำเภอนบพิตำ,8
อำเภอบางแก้ว,8
อำเภอหนองโดน,8
