destination_country,travel_method,worker_count
เบลารุส,เดินทางด้วยตนเอง,2
ซูดาน,เดินทางด้วยตนเอง,9
ซูดาน,RE-ENTRY,1
ซูดาน,VISA RE-ENTRY,1
ซูดาน,RE-ENTRY,8
ซูดาน,VISA RE-ENTRY,3
ซูดาน,เดินทางด้วยตนเอง,3
อาเซอร์ไบจาน,RE-ENTRY,5
อาเซอร์ไบจาน,VISA RE-ENTRY,3
อาเซอร์ไบจาน,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,1
อาเซอร์ไบจาน,RE-ENTRY,7
อาเซอร์ไบจาน,VISA RE-ENTRY,4
อาเซอร์ไบจาน,บริษัทจัดส่ง,2
บาฮามาส,RE-ENTRY,5
บาฮามาส,VISA RE-ENTRY,3
บาฮามาส,เดินทางด้วยตนเอง,1
ตรินิแดดและโตเบโก,เดินทางด้วยตนเอง,9
ตรินิแดดและโตเบโก,RE-ENTRY,1
ตรินิแดดและโตเบโก,VISA RE-ENTRY,1
ตรินิแดดและโตเบโก,RE-ENTRY,7
ตรินิแดดและโตเบโก,VISA RE-ENTRY,4
ตรินิแดดและโตเบโก,บริษัทจัดส่ง,2
มอลโดวา,เดินทางด้วยตนเอง,5
มอลโดวา,VISA RE-ENTRY,4
เปรู,เดินทางด้วยตนเอง,7
เปรู,RE-ENTRY,1
แองโกลา,เดินทางด้วยตนเอง,5
แองโกลา,RE-ENTRY,3
ลิเบีย,RE-ENTRY,3
ลิเบีย,เดินทางด้วยตนเอง,2
ลิเบีย,VISA RE-ENTRY,1
ลิเบีย,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,1
ปารากวัย,VISA RE-ENTRY,5
ปารากวัย,RE-ENTRY,2
หมู่เกาะมาร์แชลล์,VISA RE-ENTRY,5
หมู่เกาะมาร์แชลล์,RE-ENTRY,2
แทนซาเนีย,VISA RE-ENTRY,5
แทนซาเนีย,เดินทางด้วยตนเอง,1
เซอร์เบียและมอนเตเนโกร,VISA RE-ENTRY,3
เซอร์เบียและมอนเตเนโกร,RE-ENTRY,2
เซอร์เบียและมอนเตเนโกร,RE-ENTRY,4
เซอร์เบียและมอนเตเนโกร,เดินทางด้วยตนเอง,1
คอซอวอ,RE-ENTRY,2
คอซอวอ,VISA RE-ENTRY,1
คอซอวอ,เดินทางด้วยตนเอง,1
อิรัก,VISA RE-ENTRY,3
อิรัก,RE-ENTRY,1
ดีอาร์คองโก,RE-ENTRY,3
ดีอาร์คองโก,VISA RE-ENTRY,1
