destination_country,province,worker_count
โปแลนด์,หนองบัวลำภู,4
โปแลนด์,ลำปาง,4
โปแลนด์,พระนครศรีอยุธยา,4
โปแลนด์,ร้อยเอ็ด,4
โปแลนด์,ศรีสะเกษ,4
โปแลนด์,นครพนม,4
โปแลนด์,สมุทรปราการ,3
โปแลนด์,สุพรรณบุรี,3
โปแลนด์,นครปฐม,3
โปแลนด์,กระบี่,3
โปแลนด์,ระยอง,2
โปแลนด์,เลย,2
โปแลนด์,นครสวรรค์,1
โปแลนด์,พะเยา,1
โปแลนด์,สมุทรสงคราม,1
โปแลนด์,กำแพงเพชร,1
โปแลนด์,พิษณุโลก,1
โปแลนด์,ยโสธร,1
โปแลนด์,ฉะเชิงเทรา,1
โปแลนด์,อำนาจเจริญ,1
โปแลนด์,จันทบุรี,1
โปแลนด์,กาญจนบุรี,1
โปแลนด์,นครศรีธรรมราช,1
โปแลนด์,ลำพูน,1
บาห์เรน,นครราชสีมา,236
บาห์เรน,ขอนแก่น,135
บาห์เรน,เชียงราย,80
บาห์เรน,อุดรธานี,33
บาห์เรน,มหาสารคาม,24
บาห์เรน,กรุงเทพมหานคร,19
บาห์เรน,สุโขทัย,14
บาห์เรน,อุบลราชธานี,11
บาห์เรน,หนองคาย,10
บาห์เรน,ชัยภูมิ,10
เช็ก,อุดรธานี,49
เช็ก,กรุงเทพมหานคร,42
เช็ก,นครราชสีมา,37
เช็ก,หนองบัวลำภู,33
เช็ก,หนองคาย,26
เช็ก,ขอนแก่น,24
เช็ก,บุรีรัมย์,23
เช็ก,ลำปาง,23
เช็ก,ชัยภูมิ,23
เช็ก,สกลนคร,22
เช็ก,สุรินทร์,16
เช็ก,เชียงราย,15
เช็ก,ร้อยเอ็ด,14
เช็ก,อุบลราชธานี,13
เช็ก,ศรีสะเกษ,13
เช็ก,มหาสารคาม,12
เช็ก,พิษณุโลก,11
เช็ก,สุโขทัย,10
เช็ก,สงขลา,10
เช็ก,ยโสธร,9
เช็ก,อำนาจเจริญ,9
เช็ก,เชียงใหม่,8
เช็ก,นนทบุรี,8
เช็ก,บึงกาฬ,8
เช็ก,กาฬสินธุ์,8
เช็ก,ปทุมธานี,8
เช็ก,พิจิตร,8
เช็ก,ชลบุรี,8
เช็ก,ลพบุรี,7
เช็ก,กำแพงเพชร,7
เช็ก,นครปฐม,6
เช็ก,ราชบุรี,6
เช็ก,สมุทรปราการ,6
เช็ก,ตาก,6
เช็ก,เพชรบูรณ์,6
เช็ก,อุตรดิตถ์,5
เช็ก,ระยอง,5
เช็ก,ปราจีนบุรี,5
เช็ก,สระบุรี,4
เช็ก,ภูเก็ต,4
เช็ก,กาญจนบุรี,4
เช็ก,นครสวรรค์,4
เช็ก,พระนครศรีอยุธยา,3
เช็ก,อุทัยธานี,3
เช็ก,มุกดาหาร,3
เช็ก,สระแก้ว,3
เช็ก,พะเยา,3
เช็ก,นครนายก,3
เช็ก,แพร่,3
เช็ก,เพชรบุรี,3
เช็ก,เลย,2
เช็ก,สิงห์บุรี,2
เช็ก,จันทบุรี,2
เช็ก,นครศรีธรรมราช,2
เช็ก,สมุทรสาคร,2
เช็ก,สุพรรณบุรี,2
เช็ก,ประจวบคีรีขันธ์,2
เช็ก,สุราษฎร์ธานี,2
เช็ก,ตราด,1
เช็ก,ชุมพร,1
เช็ก,พัทลุง,1
เช็ก,ฉะเชิงเทรา,1
เช็ก,นราธิวาส,1
เช็ก,เชียงใหม่,39
เช็ก,กรุงเทพมหานคร,39
เช็ก,ชัยภูมิ,33
เช็ก,นครราชสีมา,32
เช็ก,อุดรธานี,30
เช็ก,สกลนคร,23
เช็ก,หนองคาย,22
เช็ก,เชียงราย,20
เช็ก,ขอนแก่น,19
เช็ก,อุบลราชธานี,19
เช็ก,บุรีรัมย์,19
เช็ก,ปทุมธานี,16
เช็ก,สมุทรปราการ,15
เช็ก,นครสวรรค์,15
เช็ก,เพชรบูรณ์,12
เช็ก,ชลบุรี,12
เช็ก,พิษณุโลก,12
เช็ก,ศรีสะเกษ,12
เช็ก,กาฬสินธุ์,9
เช็ก,ภูเก็ต,9
เช็ก,นนทบุรี,9
เช็ก,ลำปาง,9
เช็ก,พระนครศรีอยุธยา,8
เช็ก,ร้อยเอ็ด,8
เช็ก,พะเยา,7
